id,area,rwdirusa,rwdiril,rwdirlocal,qlife,redist_hat,redist_neutral,redist_commis,app_pres_oba,firstam_1,firstam_2,firstam_3,firstam_4,firstam_5,firstam_6,firstam_7,firstam_8,firstam_9,firstam_10,firstam_11,firstam_12,firstam_13,firstam_14,massmedia,press_free,teapar_know,app_teapar,teapar_vote,gen10_vote,gen10_pollplace,gen10_house,gen10_enthu,term_lim_10,term_leader,cf_lim_judic,cf_pub_judic,cf_lim_leader,prim_nodeclr,fix_deficit_il10,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_inc10,tax_sales,tax_services1,tax_services2,gamble_exp,sell_il_asset,gen10_gov,gen10_gov_no3,gen10_ussen,gen10_ussen_no3,recall_today,recall,abort_leg,lg_coup_rts,lg_mil_open,death_pen,betteroff_now,betteroff_1yr,poltol_vers,poltol_frs,poltol_frs_rep,poltol_frs_dem,poltol_frs_wom,poltol_frs_teapar,poltol_frs_lds,poltol_fru,poltol_fru_rep,poltol_fru_dem,poltol_fru_wom,poltol_fru_teapar,poltol_fru_lds,poltol_you_rep,poltol_you_dem,poltol_you_wom,poltol_you_teapar,poltol_you_lds,gender,education,ideology,party_aff,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,christian_type,birth_yr,zip,rac_eth,rent_own,hh_inc,zip1,fips,adi,dma,msa,nielson,census,firam_pres,firam_spe,firam_relig,firam_pet,firam_asmbly,firam_tot,firam_none1,firam_other,firam_none2
031873,2,1,2,1,3,5,2,3,1,5,4,3,1, , , ,6, , , , , , ,2,3,1,4,2,1,1,2,3,3,3,1,1,2,5,1,2,2,2,2,2,2,2,1,2, ,2,2,2,1, ,1, ,2,2,1,1,1,2,3,3,2, , , , , , ,1,1,2,4,0,4, , , , , ,2,6,1,1,5, ,2, , , , , , , , , , , ,8, , ,1960,60506,1,2,6,60506,17089,196,140,1698,A,3,1,0,1,1,1,4,0,0,0
032006,3,2,1,1,1,3,1,1,3,3,2,1,5, , , ,6, , , , , , ,2,3,1,3,3,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2, ,2,2,2,2, ,2, ,2,2,3,2,3,1,3,3,2, , , , , , ,1,3,1,4,0,3, , , , , ,1,6,4,6,1,1, ,80, , , , , , , , , , , ,2,3,1973,60014,1,2,6,60014,17111,196,140,1698,A,3,1,1,1,0,1,4,0,0,0
032040,3,1,2,1,2,4,1,1,1,2,5, , , , , ,6, , , , , , ,2,3,1,4,2,1,1,2,1,5,5,1,2,2,5,1,2,2,2,2,2,2,2,1,2, ,1,2,3,1, ,1, ,1,2,1,1,1,2,1,1,3, , , , , , , , , , , , ,2,1,1,2,1,2,6,2,1,5, ,3, , , , , , , , , , , , , , ,1948,60115,1,2,5,60115,17037,196,140,1698,A,3,0,1,0,0,1,2,0,0,0
032055,2,2,2,2,3,4,2,3,3,2,3,5, , , , ,6, , , , , , ,2,2,2,5, ,1,1,1,2,1,1,1,2,1,1,3,2,1,1,1,1,2,1,1,2,2, ,2,1,2, ,2, ,1,1,3,2,1,1,2,2,1,1,4,1,2,2,0, , , , , , , , , , , ,1,3,3,5,5, ,1,5, , , , , , , , , , , , , ,1956,60056,1,2,8,60004,17031,196,140,1698,A,3,0,1,1,0,1,3,0,0,0
032060,2,2,2,1,2,3,2,2,4,2, , , , , , ,1, , , , , , ,2,3,1,2,1,1,1,1,1,2,1,2,2,3,1,3,2,2,1,1,2,1,2,1,1,1, ,1,2,1, ,2, ,1,1,3,3,4,1,3,3,1,1,3,1,3,1,0, , , , , , , , , , , ,1,5,4,4,5, ,2, , , , , , , , , , , ,6, , ,1937,60025,1,2,4,60025,17031,196,140,1698,A,3,1,1,0,0,0,2,0,0,0
032249,2,1,2,1,2,4,2,2,2,2,3, , , , , ,6, , , , , , ,3,3,2,5, ,1,1,2,1,1,1,1,1,1,1,3,2,2,2,2,2,2,1,2,1,1, ,1,2,3,1,4,1,1,1,3,2,2,1,3,1,2, , , , , , ,1,1,3,2,0,0, , , , , ,1,2,3,3,4, ,1,5, , , , , , , , , , , , , ,1960,60176,4,2,5,60176,17031,196,140,1698,A,3,0,1,1,0,0,2,0,0,0
032290,1,1,1,2,3,3,1,1,2,2, , , , , , ,6, , , , , , ,2,3,2,3,2,1,1,3,1,1,2,1,3,1,2,2,2,2,2,2,2,2,3,3,2, ,2,1,1,7, ,2, ,1,1,2,2,1,2,2,1,3, , , , , , , , , , , , ,1,1,1,3,3,2,5,2,4,3,1, ,3, ,4, , , , , , , , , ,1,3,1987,60649,5,5,6,60617,17031,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
032350,2,1,2,2,3,3,2,2,2,6, , , , , , , , , , , , , ,1,3,2,5, ,2, ,2,4,2,2,2,4,2,1,2,1,1,1,1,1,1,1,2,2,2, ,2,1,1, ,1, ,1,2,1,1,1,1,2,3,2, , , , , , ,2, , , , , , , , , , ,2,3,1,2,5, ,1,5, , , , , , , , , , , , , ,1969,60439,1,2,6,60439,17031,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
032446,2,1,2,1,2,5,2,1,1,2, , , , , , ,6, , , , , , ,2,1,2,4,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1, ,2,2,2,5,1,1, ,1,1,1,1,1,2,3,3,1,1,1,2,2,0,1, , , , , , , , , , , ,2,3,4,1,2,2, , , , , , , , , , , , ,5, , ,1960,60004,2,2,5,60004,17031,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
032464,3,1,2,1,3,4,1,4,1,6, , , , , , , , , , , , , ,2,3,1,5, ,1,1,2,2,3,2,1,1,4,4,3,1,1,2,2,1,1,1,1,2,1, ,1,2,5,1,1, ,1,2,2,3,2,1,3,3,3, , , , , , , , , , , , ,2,1,1,2,1,1,2,3,1,5, ,1,5, , , , , , , , , , , , , ,1956,62521,1,2,6,62521,17115,834,116,1950,C,3,0,0,0,0,0,0,1,0,1
032542,3,2,2,3,2,4,2,2,3,6, , , , , , , , , , , , , ,2,3,2,3,2,1,1,1,2,1,1,1,1,1,1,2,2,3,2,2,2,2,1,1,1,2, ,2,2,2, ,5, ,3,3,3,2,2,1,3,3,3, , , , , , , , , , , , ,1,1,1,3,1,2,2,4,5,1,1, ,14, , , , , , ,1, , , , ,5,3,1942,62664,1,2,8,62664,17125,676,556,9999,D,3,0,0,0,0,0,0,1,0,1
032588,3,2,2,1,3,3,1,2,2,1, , , , , , ,6, , , , , , ,2,3,1,3,2,1,1,2,2,1,1,1,2,4,1,1,2,2,2,2,1,2,2,1,1, ,1,1,2,1, ,1, ,1,1,1,1,1,1,3,3,2, , , , , , ,1,5,5,3,0,3, , , , , ,1,3,3,6,5, ,1,5, , , , , , , , , , , , , ,1939,62650,1,2,6,62650,17137,834,116,9999,D,3,1,0,0,0,0,1,0,0,0
032634,2,2,2,1,1,3,4,1,2,3, , , , , , ,5, , , , , , ,2,3,2,3,2,2, ,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2, ,2,2,1,2, ,1, ,1,1,2,3,2,1,3,3,3, , , , , , , , , , , , ,1,1,1,2,1,1,6,4,5,1,2, , , , , , , , , , , , ,4, , ,1958,60559,1,2,7,60527,17043,196,140,1698,A,3,0,0,1,0,1,2,0,0,0
032635,3,2,2,2,3,3,4,2,4,2,1, , , , , ,6, , , , , , ,2,3,1,1,3,1,1,1,3,1,1,1,1,1,1,3,2,1,1,2,3,3,1,1,2, ,1,2,2,2, ,2, ,1,1,3,3,4,2,3,2,3, , , , , , , , , , , , ,1,1,1,1,1,1,6,4,5,1,1, ,5, , , , , , , , , , , , , ,1940,60450,1,2,8,60450,17063,196,140,1698,A,3,1,1,0,0,0,2,0,0,0
032738,3,2,2,1,3,3,2,2,4,2, , , , , , ,6, , , , , , ,2,1,2,2,4,2, ,1,2,1,1,1,5,2,1,2,2,2,2,2,1,2,1,1,2,2, ,1,3,2, ,2, ,2,2,1,2,4,1,3,2,1,1,2,1,2,1,2, , , , , , , , , , , ,1,5,5,6,4, ,1,14, , , , , , ,1, , , , ,5,3,1964,61270,1,2,5,61270,17195,246,192,9999,D,3,0,1,0,0,0,1,0,0,0
032771,1,2,2,2,3,2,2,2,3,6, , , , , , , , , , , , , ,2,1,3, ,3,1,1,1,2,1,1,2,2,4,1,1,2,1,2,2,1,2,2,2,2, ,2,1,2,2, ,2, ,1,1,2,2,2,1,3,3,2, , , , , , ,1,4,0,2,2,0, , , , , ,1,5,4,5,4, ,1,5, , , , , , , , , , , , , ,1976,60707,1,2,6,60644,17031,196,140,1698,A,3,0,0,0,0,0,0,1,0,1
032775,3,2,2,2,2,2,1,1,4,2,1, , , , , ,6, , , , , , ,2,3,2,5, ,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2, ,1,2,2, ,2, ,1,1,2,2,2,1,3,3,3, , , , , , , , , , , , ,1,1,2,2,1,1,6,4,4,5, ,1,5, , , , , , , , , , , , , ,1948,62629,1,2,4,62629,17167,834,116,4410,C,3,1,1,0,0,0,2,0,0,0
